Student Name,Phone no,Email Id,Country Intrested (advisor)
Abhigna,9847845723,abhigna@gmail.com,USA
Yashodha,9234527566,yashodha@gmail.com,USA
Harsha,8621209409,harsha@gmail.com,Canada
Afia,8007891252,afia@gmail.com,USA
Sowmya,7394573095,sowmya@gmail.com,Australia
Prabhuvardhan,6781254938,prabhuvardhan@gmail.com,USA
Abhishek,6167936781,abhishek@gmail.com,UK
Cathy,5554618624,cathy@gmail.com,USA
Teena,4941300467,teena@gmail.com,USA
Tiny,4327982310,tiny@gmail.com,Canada
Tony,3714664153,tony@gmail.com,USA
Aqvi,3101345996,aqvi@gmail.com,Australia
Kinni,2488027839,kinni@gmail.com,USA
Kevin,1874709682,kevin@gmail.com,UK
Beula,1261391525,beula@gmail.com,USA
Reena,94545346323,reena@gmail.com,USA
Reema,65465454543,reema@gmail.com,Canada
Richi,76465345634,richi@gmail.com,USA
Subhash,9738463274,subash@gmail.com,Australia
Dinakar,9543543255,Dinakar@gmail.com,USA
Jagdeesh,96576645534,jagdeesh@gmail.com,UK
Sofia,9384562745,sofia@gmail.com,USA
Miraclin,91834625783,miraclin@gmail.com,USA
Celina vinni,9836592654,celina@gmail.com,Canada
Swetha,9028472834,swetha@gmail.com,USA
Susmitha,9104030567,susmitha@gmail.com,Australia
Amarnath,7284937473,amarnath@gmail.com,USA
Premnath,6587393089,premnath@gmail.com,UK
